band,OV,BRCA,ER,TRI
13_q13.3,-0.00641025641025641,-0.00189035916824197,-0.0028735632183908,0
13_q14.11,-0.00636942675159236,0,0,0
13_q14.12,-0.00649350649350649,0,0,0
13_q14.13,-0.00645161290322581,0,0,0
13_q14.2,-0.0065359477124183,0,0,0
13_q14.3,-0.00636942675159236,0,0,0
13_q21.1,-0.00636942675159236,0.0150587933741309,-0.0028735632183908,0
13_q21.2,-0.00636942675159236,0.0150659133709981,-0.00285714285714286,0
13_q21.31,-0.00641025641025641,0.0150480118579622,-0.00289017341040462,0
13_q21.32,-0.00645161290322581,0.0320043656908064,-0.00288184438040346,0.0555555555555556
13_q21.33,-0.00636942675159236,0.0325995194493149,-0.00285714285714286,0.0588235294117647
13_q22.1,-0.00636942675159236,0.0301318267419963,-0.00571428571428571,0.0555555555555556
13_q22.2,-0.0127388535031847,0.0301318267419963,-0.00571428571428571,0.0555555555555556
13_q22.3,-0.0128205128205128,0.0301247201790854,-0.00573065902578797,0.0555555555555556
13_q31.1,-0.0129032258064516,0.0306876922070275,-0.00574712643678161,0.0555555555555556
13_q31.2,-0.0128205128205128,0.0441627012580666,-0.00859598853868195,0.0588235294117647
13_q31.3,-0.0128205128205128,0.0460637605725439,-0.00571428571428571,0.0555555555555556
13_q32.1,-0.0128205128205128,0.0621468926553672,0.0276190476190476,0.0555555555555556
13_q32.2,-0.0127388535031847,0.0602636534839924,0.0247619047619047,0.0555555555555556
13_q32.3,-0.0127388535031847,0.0451870802686281,-0.00571428571428571,0.0555555555555556
13_q33.1,-0.0127388535031847,0.0470667392906348,-0.00286532951289398,0.0555555555555556
13_q33.2,-0.0127388535031847,0.0470738727214583,-0.00286532951289398,0.0555555555555556
13_q33.3,-0.0128205128205128,0.0640158918330076,0.0304597701149425,0.0555555555555556
13_q34,-0.0193548387096774,0.0441195751933919,-0.00288184438040346,0.0261437908496732
14_q11.2,-0.036427732079906,-0.00383877159309021,-0.00291545189504373,0
14_q12,-0.0382165605095541,-0.00756143667296786,-0.00573065902578797,0
14_q13.1,-0.0382165605095541,0.00749735670116307,0.0247373447946513,0
14_q13.2,-0.0382165605095541,0.0037664783427495,0.0219047619047619,0
14_q13.3,-0.0382165605095541,0.0056497175141243,0.0219047619047619,0
14_q21.1,-0.0384615384615385,-0.00380952380952381,-0.00576368876080692,0
14_q21.2,-0.0445859872611465,-0.00570342205323194,-0.00576368876080692,-0.0149253731343284
