band,OV,BRCA,ER,TRI
17_q21.1,0.450630106757857,1,1,1
17_q21.2,0.655354925357714,1,1,1
17_q21.31,0.655354925357714,1,1,1
17_q21.32,1,1,1,1
17_q21.33,1,1,1,1
17_q22,1,1,1,1
17_q23.1,0.584623979550167,1,1,1
17_q23.2,0.584623979550167,1,1,1
17_q23.3,1,1,1,1
17_q24.1,0.775620415881534,1,1,1
17_q24.2,0.775620415881534,1,1,1
17_q24.3,0.775620415881534,1,1,1
17_q25.1,0.655308830098601,1,1,1
17_q25.2,0.655308830098601,0.96898478929468,1,1
17_q25.3,1,1,1,1
18_p11.1,0.765692114407405,1,1,1
18_p11.21,0.584623979550167,1,1,1
18_p11.22,0.584623979550167,1,1,1
18_p11.23,0.450630106757857,1,1,1
18_p11.31,0.584623979550167,1,1,1
18_p11.32,0.450630106757857,1,1,1
18_q11.1,0.765692114407405,1,1,1
18_q11.2,0.222124671381748,1,1,1
18_q12.1,0.200897321629785,0.96898478929468,1,1
18_q12.2,0.288492218877817,1,1,1
18_q12.3,0.288492218877817,0.96898478929468,1,1
18_q21.1,0.450630106757857,0.96898478929468,1,1
18_q21.2,0.450630106757857,1,1,1
18_q21.31,0.450630106757857,1,1,1
18_q21.32,0.655354925357714,1,1,1
18_q21.33,0.450630106757857,1,1,1
18_q22.1,0.655354925357714,1,1,1
18_q22.2,0.655354925357714,1,1,1
18_q22.3,0.655354925357714,1,1,1
18_q23,1,1,1,1
19_p11,0.200897321629785,1,1,1
19_p12,0.222124671381748,1,1,1
19_p13.11,0.302507299985981,1,1,1
19_p13.12,0.119770627877451,1,1,1
19_p13.13,0.0244511366653387,1,1,1
19_p13.2,0.155380700196934,1,1,1
19_p13.3,1,1,1,1
19_q11,0.200897321629785,1,1,1
19_q12,0.0244511366653387,1,1,1
19_q13.11,0.119770627877451,1,1,1
19_q13.12,0.155380700196934,1,1,1
19_q13.13,0.152431549755998,1,1,1
19_q13.2,0.167793700698893,1,1,1
19_q13.31,0.200897321629785,1,1,1
19_q13.32,0.2454747368111,1,1,1
19_q13.33,0.288492218877817,1,1,1
19_q13.41,0.2454747368111,1,1,1
19_q13.42,0.2454747368111,0.867714221416633,1,1
19_q13.43,0.450630106757857,0.96898478929468,1,1
1_p11.1,0.200897321629785,1,1,1
1_p11.2,0.200897321629785,1,1,1
1_p12,0.288492218877817,1,1,1
1_p13.1,0.450630106757857,1,1,1
1_p13.2,0.377960256493079,1,1,1
1_p13.3,0.450630106757857,1,1,1
1_p21.1,0.377960256493079,1,1,1
1_p21.2,0.377960256493079,1,1,1
