band,OV,BRCA,ER,TRI
12_q24.12,0.444287200441771,0.623816585259677,0.665579371852057,1
12_q24.13,0.666307836254218,0.623816585259677,0.665579371852057,1
12_q24.21,0.570505322477863,0.781471160068438,0.840830457780659,1
12_q24.22,0.429855788626727,0.899406934136905,1,1
12_q24.23,0.42759377181637,0.899406934136905,1,1
12_q24.31,0.213631846911089,0.766282444199104,0.840830457780659,1
12_q24.32,0.146792270739697,0.794806749857425,0.875172804887199,1
12_q24.33,0.0728125718606562,0.238697399823983,0.311661952884983,1
13_q12.11,0.00476579719253872,1,0.787587328133986,1
13_q12.12,0.0262249724254433,1,0.786461394646628,1
13_q12.13,0.0262249724254433,0.791884775379434,0.414099237647178,1
13_q12.2,0.0322770579635148,0.598540874877176,0.409522457971889,1
13_q12.3,0.0322770579635148,0.39835086574239,0.204246775335619,1
13_q13.1,0.0322770579635148,0.00170852863693133,4.20706565277458e-05,1
13_q13.2,0.0300265870258693,0.00170852863693133,4.20706565277458e-05,1
13_q13.3,0.028644428720507,0.00170852863693133,4.20706565277458e-05,1
13_q14.11,0.0417390153014516,0.00170852863693133,4.20706565277458e-05,1
13_q14.12,0.0177642066797075,0.00170852863693133,4.20706565277458e-05,1
13_q14.13,0.0198810160600032,0.00173523505497139,4.20706565277458e-05,1
13_q14.2,0.0300265870258693,0.0105371197193097,0.000323792195633296,1
13_q14.3,0.0375078945480108,0.0318898732007942,0.00288562824098626,1
13_q21.1,0.0481277640813616,0.0666552067908787,0.00494903426234409,1
13_q21.2,0.0615611618136408,0.143202338697587,0.0311294244671397,1
13_q21.31,0.0481277640813616,0.143202338697587,0.0523915771371461,1
13_q21.32,0.0481277640813616,0.302976273710482,0.0623002441446648,1
13_q21.33,0.0615611618136408,0.558588042391087,0.216501177462885,1
13_q22.1,0.034649497807219,0.732172485441747,0.269002852210002,1
13_q22.2,0.0602953279021407,0.558588042391087,0.269002852210002,1
13_q22.3,0.0567806595913877,0.558588042391087,0.269002852210002,1
13_q31.1,0.06260078536343,0.635509450039344,0.371327051720568,1
13_q31.2,0.168564462388182,0.894749256386088,0.512278701751215,1
13_q31.3,0.163715974342804,0.894749256386088,0.512278701751215,1
13_q32.1,0.148424176344972,1,0.875172804887199,1
13_q32.2,0.189477748410846,1,0.875172804887199,1
13_q32.3,0.189477748410846,1,0.869914251078667,1
13_q33.1,0.244166949630545,1,0.875172804887199,1
13_q33.2,0.126572991521873,1,0.786461394646628,1
13_q33.3,0.189477748410846,1,0.669324095313707,1
13_q34,0.189477748410846,0.990131361663827,0.512278701751215,1
14_q11.2,0.190533180124959,1,0.806817963478829,1
14_q12,0.159076037843426,1,0.806817963478829,1
14_q13.1,0.120713679802005,1,0.806817963478829,1
14_q13.2,0.138535252205165,1,0.806817963478829,1
14_q13.3,0.120713679802005,1,0.806817963478829,1
14_q21.1,0.297556027904515,1,1,1
14_q21.2,0.297556027904515,1,1,1
14_q21.3,0.297556027904515,1,1,1
14_q22.1,0.122036713010683,0.645187276444172,0.875172804887199,1
14_q22.2,0.0688745205560238,0.674420850158963,1,1
14_q22.3,0.0602953279021407,0.47564512156326,0.761086577577491,1
14_q23.1,0.131823299723326,0.406057910344652,0.57624109901831,1
14_q23.2,0.0325341942883027,0.267161741719817,0.269002852210002,1
14_q23.3,0.0866607719324687,0.169679945701742,0.165785064511119,1
14_q24.1,0.0481277640813616,0.0105371197193097,0.0523915771371461,1
14_q24.2,0.0322770579635148,0.0105371197193097,0.0523915771371461,1
14_q24.3,0.108734740632664,0.0105861838560318,0.0524009483607362,1
14_q31.1,0.0443817575771909,0.0112411323655432,0.0523915771371461,1
14_q31.2,0.0481277640813616,0.0127035903626481,0.0523915771371461,1
14_q31.3,0.0481277640813616,0.0318898732007942,0.101906287972362,1
14_q32.11,0.120713679802005,0.00170852863693133,0.143233553981533,1
14_q32.12,0.160997820556507,0.00170852863693133,0.141561288540698,1
14_q32.13,0.160595164600494,0.00170852863693133,0.130365478669295,1
14_q32.2,0.159076037843426,0.00889620315060708,0.397759612339177,1
14_q32.31,0.558296922027722,0.0209926718399214,0.269002852210002,1
14_q32.32,0.529048407040854,0.0392054770641762,0.387887591511088,1
14_q32.33,0.297556027904515,0.0392054770641762,0.379190514489606,1
15_q11.2,1,0.147948869454863,0.619280063818586,1
